order_count_180d,revenue_180d,payment_value_180d,freight_value_180d,item_count_180d,avg_payment_type_count_180d,avg_installments_180d,avg_review_score_180d,review_count_180d,avg_delivery_delay_180d,late_delivery_rate_180d,unique_products_180d,unique_categories_180d,unique_sellers_180d,recency_days,customer_lifetime_days,avg_order_value_180d,orders_per_month_180d,revenue_per_month_180d
0.73975134,0.014878827,0.36243927,0.025427459,0.21156037,0.0019352428,0.03812283,0.011482625,0.010787138,0.0065710014,0.0,0.018912131,0.023030533,0.0023106756,-0.03395726,0.04653154,-0.021142771,0.003728806,0.008809938
0.73996353,0.014924104,0.35865012,0.002200713,0.2115628,0.0019352428,0.03490382,0.0035140682,0.010787138,0.004541335,0.0,0.018912131,0.0003105728,0.0023106756,-0.03328703,0.045017097,-0.024054436,0.003728806,0.008809938
0.7363171,-0.057399943,0.33155814,-0.15162198,0.12922992,0.0019352428,0.019458545,-0.0037672492,0.016169172,0.2278362,0.0,-0.13262013,0.0010086538,0.0026808428,-0.05058013,0.03088283,0.23413551,0.005039987,-0.022563698
0.7397742,0.011979782,0.22358157,0.03531428,0.20706405,0.0019352428,0.043248236,0.17662503,0.010787138,-0.0036979362,0.0,0.015541786,0.0003105728,0.0023106756,0.0437621,0.043302875,-0.022886682,0.003728806,0.0032274977
0.73979974,0.016643846,0.28800672,0.02280002,0.21024431,0.0019352428,0.0349877,0.021796247,0.012234115,-0.025083613,0.0,0.01563178,0.0003105728,0.0023106756,0.11093844,0.061355434,-0.025295418,0.003728806,0.008177183
0.74290806,0.10445835,0.3181018,0.020731632,0.2060805,0.0019352428,0.04620011,0.14643241,0.010787138,0.031237217,0.0,0.018757982,0.0003105728,0.0023106756,-0.011771215,0.031910457,0.053132202,0.003728806,0.001151032
0.7439083,0.023799945,0.28961995,0.11905242,0.20701548,0.0012677184,0.042438976,0.15727977,0.012234115,-0.020324387,0.0,0.015643349,0.0003105728,0.0023106756,0.16280201,0.06668388,-0.027051395,0.003728806,0.009983432
0.7426152,0.010114412,0.15970095,0.09126403,0.21186185,0.0012677184,0.017159417,0.01891223,0.010373518,0.16154857,0.0,0.015385656,0.0011509692,0.0025083534,0.15469895,0.056453794,-0.030526862,0.0037668971,0.002987522
0.7400623,0.016881175,0.28274927,0.059568245,0.21025373,0.0012677184,0.03396539,0.015170003,0.012234115,-0.025605198,0.0,0.01563178,0.0003105728,0.0023106756,0.029625606,0.043437377,-0.023134798,0.003728806,0.008177183
0.73984504,0.01041734,0.1599672,0.078479365,0.21019094,0.0012677184,0.04164986,0.01611448,0.010787138,-0.021211093,0.0,0.015310513,0.0003105728,0.0023106756,0.13716777,0.046235118,-0.035825983,0.003728806,0.0056663267
0.74032444,0.016917724,0.28114995,0.076078594,0.21024892,0.0012677184,0.040044628,0.017517235,0.010787138,-0.022998553,0.0,0.01563178,0.0003105728,0.0023106756,0.03165413,0.04365416,-0.02479917,0.003728806,0.008809938
0.7434129,-0.05916143,0.2890196,-0.0042671827,0.22661448,0.0019352428,-0.0020133343,0.012517161,0.01658279,0.0016879581,0.0,0.014962979,0.0003892899,0.0027907812,0.12906808,0.04073333,0.31213346,0.005001896,-0.031299073
0.7411216,0.025593158,0.29332638,0.10681748,0.20662753,0.0012677184,0.020048631,0.15362132,0.010787138,-0.06287895,0.0,0.018168028,0.0004528882,0.0023106756,0.034892265,0.045314774,-0.033657588,0.003728806,0.00562612
0.73973924,0.06687607,0.20821759,0.06360521,0.2107388,0.0012677184,0.0069322516,0.007844803,0.010787138,0.0008564897,0.0,0.015310513,0.0003105728,0.0023106756,0.024989972,0.04264983,0.028533544,0.003728806,0.0032274977
0.745312,-0.05249002,0.2780505,0.016740305,0.22216801,0.0019352428,0.006054726,0.18242733,0.01658279,0.016050521,0.0,0.014974548,0.0003892899,0.0027907812,0.053809978,0.04271627,0.3226353,0.005001896,-0.022563698
0.7422127,0.006651222,0.26947194,0.055802826,0.20716266,0.0012677184,0.034902155,0.14030819,0.010787138,0.017944537,0.0,0.015323997,0.0003105728,0.0023106756,0.13227378,0.053583078,-0.029588945,0.003728806,0.0074626105
0.7418856,-0.020822072,0.26644167,0.014787838,0.20699565,0.0019352428,0.019691918,0.14111301,0.01658279,0.020448577,0.0,0.013128946,0.0003105728,0.0023106756,0.106840596,0.053193618,-0.024989652,0.004364435,-0.024025135
0.7360346,-0.018603396,0.28107464,0.018979674,0.20951009,0.0019352428,-0.10124774,0.014238882,0.010745197,-0.01615991,0.0,0.019884787,0.0004528882,0.0023106756,0.03817784,0.051838994,-0.041113917,0.003728806,0.005556188
0.74121237,0.014978457,0.34137064,0.005733714,0.2066011,-0.06216842,0.03242586,0.10097706,0.010787138,0.017922983,0.0,0.015643349,0.0003105728,0.0023106756,0.100526005,0.05179976,-0.025577884,0.003728806,0.008586648
0.7418894,-0.008319807,0.18463027,0.08485455,0.20701548,0.0012677184,0.03200853,0.15931928,0.010787138,-0.030215455,0.0,0.01510911,0.0003105728,0.0023106756,0.13332176,0.045620825,-0.023030458,0.003728806,0.0056663267
0.7430107,0.021341983,0.27464035,0.008255921,0.20707542,0.0019352428,0.021355907,0.14270522,0.012234115,0.018632902,0.0,0.013169506,0.0003105728,0.0023106756,0.10226793,0.052115813,-0.020523867,0.003728806,0.009284929
0.74466425,-0.032340635,0.274534,0.05229036,0.21952583,0.0012677184,-0.042068083,0.12870288,0.01654085,-0.007835433,0.0,0.016949711,0.0004528882,0.0027907812,0.10821891,0.051018227,0.2739817,0.004364435,-0.007420703
0.7390068,0.023288982,0.26963836,-0.23079012,0.21330494,0.0019352428,0.013798201,0.023775754,0.015285231,0.3187959,0.0,0.01337508,0.0011509692,0.002200737,0.036131334,0.055620782,-0.020675458,0.0037668971,-0.00019686855
0.73921853,0.016227905,0.36374453,0.014549574,0.21019028,0.0019352428,0.034933668,0.008138114,0.010787138,-0.017250389,0.0,0.018912131,0.0003105728,0.0023106756,-0.016256925,0.038639713,-0.024079233,0.003728806,0.008809938
0.7422928,0.018444732,0.26489753,0.0064238943,0.21220046,0.0019352428,0.037193477,0.029938055,0.010373518,0.119042166,0.0,0.015706923,0.0010086538,0.0025083534,0.12038115,0.039082784,-0.025143484,0.0037668971,0.010497148
0.7410323,0.016551916,0.32408547,0.080253296,0.20706865,0.0012677184,0.034121685,0.12725917,0.010787138,-0.025902478,0.0,0.015643349,0.0003105728,0.0023106756,0.03562229,0.039583564,-0.034313753,0.003728806,0.00562612
0.7424919,0.008658174,0.27495477,0.014616413,0.21157931,0.0019352428,-0.06402517,0.03077419,0.010331577,0.11962019,0.0,0.015706923,0.0011509692,0.0025083534,0.11021916,0.059268776,-0.023677088,0.0037668971,0.008932593
0.74082595,0.015049117,0.27609968,0.07392503,0.20697075,0.0012677184,0.03555304,0.12560502,0.010787138,-0.030487046,0.0,0.015323997,0.0003105728,0.0023106756,0.12948947,0.04445463,-0.025959697,0.003728806,0.007432369
